,text,reason,label
2029,try install android tv box use android app warn compatible device,unable install android tv,1
930,skip class,want skip class,1
2039,right cannot look switch different stream service,want switch another stream service,1
1195,progress service professional personal project,good personal professional project,1
623,every time update profile picture join meet profile picture look blur,profile picture blur,1
801,app crash android version,app crash android version,1
574,mirror mode horrible,mirror mode horrible,1
1243,since quality cannot select accord line possible fully participate meet radio wave bad,want participate meet radio wave bad,1
210,google duo much easier app,google duo easier,1
1558,add playback speed option,want playback speed control option,1
474,please cancel request transaction,want cancel transaction,1
1127,tablet support use lenovo xiaoxin pad pro proc virtual background option unavailable app treat screen oversized phone screen make efficient use screen real estate allow chat display alongside video feed,want get virtual background option unable view chat video feed,1
579,good app let enter say app store years older,want enter app,1
736,smooth sign either,sign experience bad,1
269,find difficult update zoom cloud meet,want update zoom cloud meet,1
1890,tv app painfully slow glitchy,app slow tv,1
1425,significantly improve quality transmission communication,improve quality communication,1
1270,apps disgust spend bagasse charge phone,app bad charge,1
1574,video quality poor continuously interrupt buffer,video keep buffer,1
1817,every time want log log,app request login frequently,1
1276,open meet without update app,want open meet without update app,1
695,unfortunately new update improve screen share big gap computer zoom ipad,face issue screen share latest update,1
1368,pity change delete sms chat,want delete sms,1
1218,possible record zoom without see participants live see also interfere presentation,want record zoom without see participants,1
891,time post options speed record available options none slow record,want slow record,1
122,pretty excellent app wish big,app large size,1
1317,could standard settings install,want install standard settings,1
604,dear zoom developers make possible change icons iphones,want change icons iphone,1
626,please allow unblur background utilize full quality camera,want unblur background,1
1446,truth application bad graphics expect brand,app bad graphics,1
1746,let watch load android,unable play video android,1
1579,android tv also work properly,app work android tv,1
1693,audio keep go sync,audio keep go sync,1
824,perfect multi task,good multi task,1
985,insert display picture,want insert display picture,1
518,cannot enter zoom web page network tv samsung support,want access zoom webpage,1
294,let put filter,want apply filter,1
1191,app start download plus heavy,app start download,1
1818,get blank screen log,get blank screen log,1
1119,good one online business,good online business,1
663,please add feature close zoom app still watch video movie small screen,want close app watch video small screen,1
1779,though subscription quite pricey,subscription plan expensive,1
1694,slow download crash many time,app crash frequently video download issue,1
149,great application train,app good train,1
1988,app great miss movie spider-man return home,unable find spiderman movies,1
67,go back zoom sound,face issue audio,1
260,open link viber,want access viber link,1
995,app create trouble update one cannot control feature mic video screen share start,want control feature update,1
1439,excellent table,good table management,1
1965,sometimes even log app say put incorrect pin,unable login correct pin,1
1793,sign correct password tell wrong,get incorrect password error,1
143,delete image,want delete image,1
1006,waste app connect school,want connect school,1
688,app freeze sign google,app freeze sign google,1
1071,open background,want open virtual background,1
1360,talk team work,want communicate team members,1
480,add background face stickers,want add face stickers,1
87,able download app android,want download android,1
1021,mother teach children cannot get laptop charger,want get laptop charger,1
112,love app always get zoom friends family,good community connections,1
15,use google meet instead,google meet better,1
696,share screen ipad camera shut,camera shut screen share,1
1284,try create conference function available join,want create conferences,1
1865,app list episodes ever since update,unable view episodes stuff list,1
1082,virtual baground work properly,virtual baground work,1
991,good app experience server problems,app server problem,1
1048,love zoom real zoom help every time home school,good zoom,1
1415,class teacher good quality,good quality education,1
174,play store work,play store work,1
1927,please add hindi subtitle,want english subtitle hindi serials,1
322,problems update could fix matter try,face issue latest update,1
415,keep tap unmute button still appear,unmute button appear,1
674,friend try watch movie try could see try could see,want view video together,1
211,love app connect meet take care things,good connect meet,1
2024,write review delete,want know review delete,1
1826,restart phone every time,restart phone due issue app,1
1215,addition chat behave differently desktop app :-/,chat behave differently desktop app,1
1107,app get crash whenever take online class,app crash take online class,1
1935,latest update picture mode work,unable use picture picture mode latest update,1
302,use application device hot,face device heat issue,1
399,know enter zoom meet,want join meet room,1
1478,necessary open live videos,want open live videos,1
1285,toolbar screen default sound dumb prog run wild,want use default sound,1
531,file send slowly even sometimes cancel,file send slowly,1
1249,delete virtual background photo,want delete virtual background,1
804,highly recommend good want watch tinker bell someone way australia far away australia also good watch old people fall stairs say person fron australia,good watch old people fall stairs,1
1541,app keep learn little bite splash clear network full line still splash,app keep get splash,1
1569,worst ott platform ever,poor ott platform,1
691,call quality outstanding big thank developers,call quality good,1
375,definitely recommend microsoft team instead,microsoft team better,1
1167,cannot add people chat list use phone number,want add people chat list use phone number,1
1842,guess time find new sport app,bad app sport,1
151,please add mir card possible payment method,want mir card payment option,1
943,sign hard,signup hard,1
1335,internet load badly long time,internet load badly,1
201,app quality poor,poor quality product,1
1088,class app option update,want update,1
756,could open nephew baby shower,want open baby shower,1
236,nice app remove videos option,want remove video option,1
701,acces room,want know people access room,1
724,please make option allow co-host host assign participants use ipad,want option host co-host assign participants use ipad,1
2059,shame disney work tv box devices,unable use disney plus tv,1
1507,different mobile something difference,mobile version different,1
494,bad connection pin phone,face connectivity issue unable pin phone,1
342,would best option share sound android devices well,want share sound option,1
1642,problem subtitle stream chromecast,unable use subtitle chromecast,1
2021,video get cut lag lot,video audio sync,1
501,want able change position camera box zoom tablet phone,want change position camera box zoom,1
2033,go password screen,unable enter password,1
137,class automatically disconnect connect,class get disconnect,1
1697,inconvenient reopen app every time try watch movie,reinstall app frequently watch movies,1
1251,passwords hard kid hit,passwords hard kid hit,1
1348,check daughter remote hold zoom correct,want check daughter,1
161,camera quality good,camera quality good,1
601,bell necessary okay leave banner screen bell every time someone join,want remove bell feature,1
863,let relax class,want relax class,1
675,would like able still see meet room info even turn video,want see meet room information turn video,1
1315,zoom convenient lessons distance vatsap better zoom,zoom convenient,1
782,never stop icons handy join video default,icons useful,1
548,also life seem find way add different background,want use background,1
167,trouble bluetooth connection,face issue bluetooth connection,1
976,unable add mobile phone,want add mobile phone,1
727,change settings like background picture already meet,want change settings like background picture,1
1145,use artificial background feature,want use artificial background feature,1
909,sometimes need different picture set privacy sake,want different picture set privacy,1
1876,movies good quality,good picture quality movies deliver,1
1750,continue watch able click different episode ridiculous,unable get next episode button,1
1745,pay much watch pay,unable watch content,1
1883,netflix cheaper disney,disney cheaper netflix,1
2001,google pixel reason seem work,unable use pixel devices,1
464,app good decision disable airplay screen mirror devices terrible one,want activate airplay screen mirror devices,1
791,sync another feature work,sync work,1
1240,bad sound despite fiber connection,sound quality poor despite fiber connection,1
996,able toggle small video box,want toggle small video box,1
1266,great meet online yoga class,good yoga,1
1203,unable unlock little camera icon bottom screen,want unlock camera icon,1
1094,try time download get download show download zoom,want download zoom app,1
869,wonderful app really usefull age group,good age group,1
935,love use zoom watch kid school activities function otherwise would able,use zoom watch school activities,1
1477,wonderful connect distant place globally,good connect distance,1
274,update app instal phone update,want update app phone,1
1595,download movies cannot watch without internet,unable play offline videos,1
1534,filter face,want filter face,1
1429,poor organization function,poor organization function,1
694,zoom amaze zoom anywhere anytime sometimes internet go,zoom amaze,1
840,app update take forever meet ongoing unable join,app update take forever,1
587,ask zoom people exchange card,want exchange card,1
1445,install whatsapp,want install whatsapp,1
2003,adjust volume,want volume adjust feature,1
635,able mirror screen onto smart tv,want mirror screen onto tv,1
1322,password cannot recover,password cannot recover,1
376,connect internet,want connect netwrk,1
324,reason understand download reach get message application cannot instal,face issue download percentage reach,1
830,concern observe one cannot login multiple devices pay account fix,want login multiple devices,1
1161,setup new group meet,want setup new group,1
172,new stickers download,want download stickers,1
145,connect app,want connect app,1
38,try register error,want register,1
251,bad app childrens,app bad children,1
1706,bad app stay charge charge long time watch disney computer app never load,app bad unable load,1
25,zoom would let connect,want connect zoom,1
887,awesome apps student teacher another people,good student teacher,1
1080,english translation live transcripts enable accurate,english translation correct,1
1103,app server go try join class,app server go try join class,1
1816,absolute worst tv app,worst app watch movies series,1
1713,subtitle mess,subtitle bad,1
1671,get black screen audio,get black screen audio,1
851,need background photos,want keep background picture,1
1729,also video quality adjustment perform,unable adjust video quality,1
419,free fire play,want play free fire,1
565,every time go meet every time learn online need enter password,user enter password multiple time,1
491,find meet password,want find meet password,1
428,good application lock take,app lock,1
146,record screen share mac book pro video record get poor quality,video record quality poor,1
880,poorly make bad quality hate school,poor quality education,1
1277,completely remove conference sound sometimes disturb,want remove conference sound,1
618,iphone utterly incapable connect call,want connect phone,1
781,new zoom feature enable us shift page still keep video awesome,new zoom feature good,1
199,let put date birth,want input date birth,1
625,also without select feature app automatically blur background create halo around make outline look unnatural,app blur background,1
807,please add meet volume adjust,want adjust meet volume,1
22,app help study lockdown,good app students,1
1130,hear voice,want hear voice,1
427,truth zoom good would like able put profile picture,unable view profile picture,1
1384,activate system,want activate system,1
805,creative app organisations,good organise,1
101,online meet nice,good app conduct online meet connect people,1
912,allow enter meet,unable enter meet,1
1028,cannot copy paste chat,want copy paste chat,1
437,turn video meet,want turn video meet,1
746,quality portuguese subtitle miss,portuguese subtitle miss,1
2022,charge monthly fee,face unauthorised charge every month,1
1505,use app learn chinese good,chinese language support good,1
368,unable enter class problem,receive error join class,1
747,need make possible manage simultaneous room application,want manage multiple room,1
1909,best app tv,good watch show,1
348,audio headset work,want hear audio headset,1
1743,try login hulu app kick,unable login hulu,1
960,share virtual background one,want share virtual background,1
1148,bad quality system give one star improve quality aap,poor quality system,1
169,network connection good video quality good,video quality bad face network connection issue,1
1410,hello would like put wallpaper cell phone mett already xd,want put wallpaper cell phone,1
605,connectivity issue iphone,iphone connectivity issue,1
1098,good pcs laptops,good pcs laptop,1
334,please note share screen work zoom android,want share screen mobile,1
1020,control menus,want find control,1
1004,class meet end connect single nano second class new update app fall,want connect single nano second,1
1316,accept access code,want access code,1
530,screen share quality horrible,screen share quality poor,1
40,great make video call,good app conduct video call,1
662,seem certain feature appear mobile version zoom,mobile version zoom feature,1
261,useful convenient school meet etc,good app school,1
51,good work tool,good app work,1
1867,delete re-download app twice even log,unable login even reinstall app,1
1287,login error understand one go fix error,login error fix,1
576,link send let click follow,want click link,1
1916,romanian subtitle available,want bulgarian language audio subtitle,1
812,last update join zoom room :(,want join zoom room,1
459,interactive handwrite biggest merit could write block,get block interactive handwrite,1
1734,nice app less consume data,app consume data,1
340,like option put wallpaper cell phone,want set wallpaper mobile,1
347,nice easy make meet hope everyone know use,app good meet,1
135,audio video good meet thank,good manage meet,1
446,terrible app optimize work terrible,app optimize devices,1
1687,videos play show ads,unable play video advertisement,1
1261,know navigate app,want navigate app,1
908,web browser audio work,web browser audio work,1
1690,unfortunately rate app poorly simply work,app performance bad,1
121,please insert vitual background,want insert virtual background,1
594,question save list meet connect main screen ability name meet,want save meet list,1
871,need options phone create manage simultaneous room,want options phone,1
429,give star correct problem take meet let back,meet get disconnect unable rejoin,1
1596,watch second ad second highlight unacceptable,get ads frequently,1
796,much good always ask switch account sign,want switch account sign,1
893,also raise hand bring front screen order,raise hand bring front screen,1
246,easy login,easy login,1
410,pls teach change pfp zoom,want change zoom pfp,1
1518,example taskbar go black,taskbar go black,1
248,record option,want record option,1
1613,still audio ipad,unable hear audio ios,1
802,take much time open screen quality bad,screen quality poor,1
1254,good take lessons well log sign membership,want log sign membership,1
20,sign zoom,unable login,1
881,virtual image come update app,want view virtual image update app,1
328,type number zoom ask tell number incorrect,receive incorrect phone number message,1
1899,install hotstar,unable install hotstar,1
1501,bad graphics terrible difficult get currency game matchmaking bad apart,graphics bad difficult get currency game matchmaking bad,1
1339,even hold fight,want hold fight,1
1748,ridiculous pay something want use anymore,want use app,1
1330,go air completely throw application screen split work correctly impossible connect sound operation application carry samsung tab tablet keyboard connection support,screen split work correctly,1
937,top tool conference,top tool conferences,1
705,app take lot resources slow mute button unresponsive,app slow mute button unresponsive,1
1823,want arabic subtitle,need arabic language subtitle,1
39,take long time install,instal process time consume,1
1199,button possibly adjust,want adjust button,1
2058,hello disney must also instal chromecast,unable use disney chromecast,1
1992,options netflix,better netflix,1
1931,picture quality great,poor picture quality,1
600,notification bell keep go meet ring person join leave disturb meet,notification bell keep ring meet,1
564,know cancel service payment become automatic,want cancel subscription,1
1815,pay subscription work,unable make payment,1
1780,want subscribe,want use subscription,1
1791,app suck android,android app bad,1
93,turn camera,want turn camera,1
152,good kid,app good kid,1
354,dark mode,want dark mode,1
1869,support arabic language,need arabic language support,1
2002,tire disney,disney plus bad,1
1023,bullsh trouble try sign class say idk,want register class,1
667,music translate well zoom,music translate zoom,1
13,connect meet,want connect meet,1
1978,play video wi-fi,unable open app wifi,1
144,many error cod,face error cod frequently,1
993,get connect important meet,get connect important meet,1
1520,wonderful possibility conduct group lessons,good group learn,1
442,wish could customize background,want customize background,1
1373,everything lag impossible enter system,want enter system,1
45,bad app even sign,unable sign,1
181,good app give update notification advance,want update notifications advance,1
619,assign picture profile camera,want add profile picture camera,1
1027,never participate church conference call bible study morning service,want participate morning service,1
923,miss class,miss class,1
1470,put filter computers something seem unfair :(,want put filter computers,1
2005,remove pip mode,want use pip mode,1
1944,charge high price,price high,1
1855,allow change language subtitle,want subtitle translation english,1
951,update app add option play,want update app add option play,1
2008,time live stream ipl match available,stream quality bad ipl match,1
448,helpful app online class lag much time take connection,join class time consume,1
1359,register tomorrow online lessons,want register online lessons,1
1039,enjoy use zoom recovery base meet individual meet family members see long time,use zoom recovery base meet,1
31,would like able set background android,want put background android phone,1
1755,try troubleshoot tip avail,troubleshoot help,1
1598,sound play ipad ios update,unable hear sound ios update,1
1364,default settings terrible,default settings bad,1
810,put zoom home screen,want put zoom home screen,1
1979,freeze live stream sport events,video freeze live match,1
1479,problem share screen let switch another device active clear example,want switch another device,1
841,simply lose data,data lose,1
529,first preveiws put app store cringe,app store preview bad,1
1428,like option hide camera users call,want hide camera,1
1715,open home page anymore,unable access home page,1
761,smartphone way configure brighten camera video dark settings phone limit end use still feature improve uninstall,want change settings,1
439,suggestion also add option change blur background android phone,want add blur option,1
641,log onto meet easy,log onto meet easy,1
156,get zoom pro,want update zoom pro plan,1
806,long why.my updat take long please chich,update take long,1
1513,switch another page zoom meet open phone longer meet interrupt hear sound behind fix,want hear sound behind,1
129,problem connect disconnect reconnect min,unable connect meet,1
1699,lot lag even high speed internet,face buffer issue despite good network,1
596,upgrade pro button hang around somewhere,want upgrade pro,1
1751,want sign tv,want login tv,1
306,worst ping issue app,face app ping issue,1
836,require upgrade version work work yesterday,want upgrade version,1
2052,pretty good video player suck,video player work,1
490,check basic accessibility find problem could find options camera,want find camera option,1
1519,useful application distance learn become better come turkish support,good distance learn,1
1005,please add feature teachers,want add feature teachers,1
2016,want download content,want know download,1
1643,download movies,unable download movies,1
590,bug zoom screen harden iphone xs,screen freeze iphone,1
1053,zoom best app chat friends zoom good corana rlly help connect chat people vist vist,zoom good chat friends,1
1593,multiple months view progress save watch tv show movies via chromecast,unable sync watch episodes chromecast,1
1265,forever crash phone run battery quickly always problems sound picture quality also always send message chat,phone run battery,1
679,know put emoji corner screen,want put emoji corner screen,1
42,eligible sign zoom time,receive eligible zoom message,1
1749,none movie apps problem,unable play movies,1
759,many limit feature tablet version,tablet version limit feature,1
132,application constantly hang,app freeze frequently,1
401,longer pass class,want pass class,1
193,zoom even load,app load,1
1120,please add filter background effect google meet android,want add filter background effect,1
1556,since last update app longer work,unable open app since last update,1
1724,like app recently sound stop work,unable hear audio,1
1275,dear developers please add mask phone,want add mask phone,1
504,get pair hear aid,want pair hear aid,1
272,automatically get sign sign,get log automatically,1
1898,work huawei,unable use huawei,1
833,download emojis useless,download emojis useless,1
478,mirror video settings view see mirror mirror participants really uncomfortable,want mirror screen participants,1
431,graphics bad take time load skin,want load skin,1
1440,bad graphics mrd,bad graphics mrd,1
1801,app constantly freeze,app crash freeze buffer frequently,1
1512,course need connect google,want connect google,1
387,show error code often,receive error code,1
1076,able join data,want login data,1
411,update nice many connection issue update app,face network connect issue update app,1
1624,app great problem movies suppose feature,service offer many movies,1
378,continue charge subscription think cancel,get charge cancel subscription,1
652,cannot connect zoom meet ipad,want connect meet ipad,1
177,cancel emoji package download,want stop download emoji package,1
1092,worst app take email,want use email,1
1451,desktop version lousy,desktop version bad,1
1737,content bad rich enough,stream content less,1
750,new icon menu let access text box,want access text box,1
288,ukrainian flag emoji,want ukraine flag emoticons,1
163,bad quality connection,poor quality connection,1
1456,improve mobile tablet app lot,mobile tablet app need improvement,1
438,try join screen go black square show,screen black,1
780,ui bite laggy,ui ux slow,1
458,impossible write pen pressure severely cut line print sharply,want write pen pressure cutoff,1
333,problems like poor video quality voice quality connect problems,audio video quality bad face network connection issue,1
839,allow coppy paste allow enter alphabets,want enter alphabets,1
1908,always delay upload cook comali,want cook comali episodes time,1
708,link open tell error time delete,want access link,1
1388,phone application silent uninstalling application download new installation fix anything,uninstalling application fix anything,1
173,download emoji,want download emojis,1
1716,terrible use couple time normally crash ridiculously start uninstall install horrible fix,reinstall app due frequent crash,1
1160,unable use chat background tab mobile really bug change device time need immediate solution,want use chat background,1
968,zoom meet app good oppo device android virtual background option work check zoom support read try many time virtual background work please give option android mobiles,android virtual background work,1
1471,allow put background image cell phone even though look option allow appear,want put background image phone,1
510,change mic set draw someone else,want change mic set draw,1
1933,better previous update,new update better,1
1711,take forever download app,download speed slow,1
338,set profile pic zoom,want set profile,1
1192,work android auto,android auto work,1
994,compatible samsung pro,want use samsung pro,1
1256,app version latest version virtual background tab miss,virtual background tab miss,1
1292,change avatar already reinstall go another way change avatar way choose photo click save,want change avatar,1
655,understand simple function allow us change status mobile app option,want change status mobile,1
1498,excellent application conferences group exhibitions,good group exhibitions,1
627,zoom airpods pro work great iphones zoom app macbook air bluetooth glitches like crazy cut,face issue bluetooth connection macbook,1
754,hold meet,want hold meet,1
1204,weeks since reinstall zoom,want reinstall zoom,1
17,let sign,want sign,1
197,great way communication learn,good app communication learn,1
592,camera instantly turn put zoom background,camera turn app keep background,1
1790,major problem buffer app,app buffer issue,1
1836,watch android,unable watch android,1
897,hate screen go black flicker,screen turn black flicker,1
1838,sometimes screen freeze,screen freeze frequently,1
1022,network speed sharp zoom app slower,zoom app slow,1
638,say sign fail chinese,want sign chinese,1
1319,zoom lag terribly frequent crash also classmates,zoom lag terribly,1
787,able customize vertual background request kindly look,want customize vertual background,1
1238,lenovo pro android tablet impossible start web cam,want start web cam,1
1590,cannot boot disney plus app,unable connect disney,1
1350,communication quality poor,poor quality communication,1
215,extremely bad service,customer service bad,1
2051,automate chat system useless,chat bot work,1
878,app suck many passcode,app bad passcode,1
547,still get refund,want get refund,1
1783,longer work ipad,unable use ipad,1
1301,sound connection poorly do need use headphones inscription,sound connection poor,1
764,worst app ever see chinese products make show use,poor quality chinese products,1
1572,app respond device,app work consistently,1
1074,app automatically stop update get,app stop update get,1
1411,good app korean lessons,good korean lessons,1
1136,hair thick skin peel skin hair skin,hair thick,1
1057,internet connection work open app meet,internet connection work,1
816,two star especially issue cannot pin video share screen hope fix,want pin video,1
846,suck android users upload background,want upload background,1
670,would like able minis screen scroll thru apps,want minimize screen scroll apps,1
133,ipad sign apple,want login apple id,1
872,work bluetooth box believe headset tv monitor sound come tv mirror mode,want hear audio mirror mode,1
257,audio quality better,audio quality need improvement,1
140,really able use app pc,desktop version work,1
811,great platform also give virtual background snapdragon processors,good virtual background,1
1594,please give us update app completely freeze soon open,app lock frequently,1
398,able enter room,want access room,1
614,control audio app dial phone,want control audio app,1
2036,sign pay stupid tv provider,sign tv provider well use app,1
1015,love fact ads pop use,want see ads use,1
1189,browser access work chrome android,browser access work chrome android,1
66,sometimes connection drop restart meet,meet get disconnect,1
1889,release episodes time,want episodes release time,1
853,delete personal chat image store,want delete personal chat image,1
1689,content good application optimize,ux ui bad,1
1787,want cancel account,want close account,1
1112,good business promotional,good business promotions,1
904,please add playback sessions watch please,want add playback sessions,1
1377,suck create regestration say moment registration available,want create regestration,1
1566,app good watch lot movies series whenever want,good watch movies serials,1
726,pass edge authentication able open zoom,want use zoom,1
430,possible call applications time connect zoom,want call apps time,1
541,participants focus breakout,want focus breakout,1
602,add pip picture-in-picture support iphones,want picture picture mode iphone,1
1313,terrible application every time go phone puzzle turn sound video quality terrible difficult register general lot disadvantage,want register face audio video quality issue,1
1344,get registry glitch,want access registry,1
71,great way connect,good connectivity,1
828,recent change longer allow use two device simultaneously,want use two devices simultaneously,1
609,large delay demonstrate computer window display ipad,face delay demonstrate computer window display ipad,1
1666,app good bite expensive,app expensive,1
826,update get pip mode still control remote control share device available android,pip mode available android,1
630,use cpl time yet save passcodes work,save passcodes work,1
1211,find set turn therefore uninstalled app,uninstalled app,1
1765,recommend excellent app worth money give,app good worth price,1
1674,internet little slow take long time,internet slow,1
1580,subtitle work well,unable view subtitle clearly,1
1547,app great.but many ads,many ads app,1
1381,quality terrible cliffs permanent,poor quality cliffs,1
185,remove profile picture please resolve issue,want remove profile picture,1
1804,best platform entertainment,best entertainment platform,1
1989,disney bundle never log espn app want watch something,unable login espn,1
1854,pip support,unable use pip mode,1
1522,change language russian ukrainian,want change russian language,1
1268,absolutely slur application interface devil break leg,app slur interface,1
1302,today students donetsk region could connect,want connect students,1
44,take long get update,update app time consume,1
366,although write conference number code correctly send hundreds network write wrong code,receive incorrect conference code message even enter correct code,1
1452,like mobile audio hear meet,mobile audio hear meet,1
1796,work devices,unable work device,1
1535,app splash network strong rat,app splash network good,1
1208,file transfer chat unfortunately possible,file transfer chat possible,1
615,chat function difficult switch group reply personal chat see many accidental chat,want switch group personal chat,1
845,see slide properly rotate mobile,want rotate slide properly,1
822,uninstall reinstall normally work,uninstall reinstall normally work,1
1271,link could write,want write link,1
277,way better microsoft team,app better microsoft team,1
307,forget create link,want create link,1
1888,update longer use hulu,unable use hulu update,1
1819,want download anything phone download,unable download phone,1
1653,get many notifications,get many notifications,1
1351,app crash every minutes,app crash every minutes,1
1629,fail lot delete re-download problem,unable download content,1
1570,best ott app world,best ott platform,1
668,go nut try figure way picture zoom want see live,want upload picture without see live,1
1600,app crash try open,app crash enter app,1
1878,poor service hotstar,poor service hotstar,1
1961,app good watch highlight match,good watch highlight,1
1930,app keep say something go wrong,app keep say something go wrong,1
255,india flag emoji section,want indian flag emoji section,1
1040,option make quality good bad,option make quality good bad,1
1941,every movie series watch turn subtitle,unable turn subtitle,1
27,please add ukrainian language support,want ukrainian language support,1
1822,download problem,face issue download,1
1949,love wish would add animes,want anime content,1
1035,restart device everytime,want restart device,1
2015,slow still buffer,app slow buffer lot,1
2044,app close automatically repeatedly stream,app keep close automatically stream,1
343,would interest able create schedule meet,want schedule meet,1
183,host video available,want access host video,1
1529,good noise cancellation,sound cancellation good,1
1584,say app bore ads annoy,ads annoy,1
1708,playback control unresponsive,unable adjust playback speed,1
1718,ask login every time switch new device comfort frustrate,login app every time open app,1
103,learn effective,good learn,1
1051,join big webinar.because issue hate app,want join webinar,1
1563,update app,unable update app,1
1328,application unstable tablets,app unstable tablets,1
1354,app normal often crash remotely,app crash remotely,1
697,please provide feature able install background iphone,want install background iphone,1
